questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
18,Short Conversation,보통,Module 1,Conversation: Boutique,,"Narrator: Listen to a conversation.
Woman: Hey, Megan, did you check out that new boutique on Andre Avenue yet?
Man: I did yesterday, actually. It was packed, but their summer collection is stunning: floral prints, skirts, and even some vintage hats.
Woman: Sounds like a fashion treasure hunt. Did you end up getting anything?
Man: After trying on five dresses and debating with the sales clerk about sizes, I finally settled on a lightweight blue one. It was the last in stock.
Woman: Lucky find. Hope it wasn't too pricey.
Man: Let's just say my bank account is greatly reduced. Still, my friends are going to be jealous.",,,,What is suggested about the dress Megan chose?,It has many colors.,It will be a gift for a friend.,It was expensive.,It was the wrong size.,It was expensive.,,,
19,Announcements,보통,Module 1,Announcement: Computer Lab Update,,"Announcer: Listen to a school radio announcement.
Announcer: Attention students. Starting next week, there will be some changes to our computer lab equipment usage policy. All computers in the lab must be logged out and shut down by 10 p.m. to allow for nightly maintenance of our systems. This will ensure that our equipment remains in optimal condition for everyone's use. If you plan to use the lab during peak hours, especially in the afternoons, we urge you to reserve a workstation in advance to guarantee access.",,,,"According to the speaker, what change will begin next week?",New programs will be installed on the computers in the lab.,Equipment will have to be shut down by a specific time.,A computer lab will be closed in the afternoon.,Students will have to log in with different credentials.,Equipment will have to be shut down by a specific time.,,,
20,Announcements,보통,Module 1,Announcement: Computer Lab Update,,"Announcer: Listen to a school radio announcement.
Announcer: Attention students. Starting next week, there will be some changes to our computer lab equipment usage policy. All computers in the lab must be logged out and shut down by 10 p.m. to allow for nightly maintenance of our systems. This will ensure that our equipment remains in optimal condition for everyone's use. If you plan to use the lab during peak hours, especially in the afternoons, we urge you to reserve a workstation in advance to guarantee access.",,,,What does the speaker recommend listeners do?,Use the computer lab in the evening.,Reserve space in the computer lab in advance.,Create a personal account.,Save and back up all computer files.,Reserve space in the computer lab in advance.,,,
21,Announcements,보통,Module 1,Announcement: Gala,,"Speaker: Listen to an announcement before a university event.
Speaker: Good evening, everyone. In preparation for tonight's gala, I'd like to go over some important instructions. When you arrive, please check in at the registration desk to receive your name badge and program booklet. Dinner will be served at 7 p.m. and will be followed by a series of speeches and a musical performance. Scan the QR code in your booklet for more information on any of the participants. Special thanks to the student government for its financial backing of this event.",,,,Why do attendees need to check in at the registration desk?,To pick up a name tag and a pamphlet.,To reserve a slot to make a speech.,To place a dinner order.,To make a donation.,To pick up a name tag and a pamphlet.,,,
22,Announcements,보통,Module 1,Announcement: Gala,,"Speaker: Listen to an announcement before a university event.
Speaker: Good evening, everyone. In preparation for tonight's gala, I'd like to go over some important instructions. When you arrive, please check in at the registration desk to receive your name badge and program booklet. Dinner will be served at 7 p.m. and will be followed by a series of speeches and a musical performance. Scan the QR code in your booklet for more information on any of the participants. Special thanks to the student government for its financial backing of this event.",,,,What role does the speaker indicate the student government plays in the gala?,It arranges the event space on campus.,It produces the program booklets.,It provides monetary support.,It recruits speakers and musical acts.,It provides monetary support.,,,
23,Announcements,보통,Module 1,Announcement: Response Papers,,"Professor: Listen to an announcement in a classroom.
Professor: I want to remind you all that we will have a paper due every Friday. The paper should be a response to the week's reading and should be at least two pages long. Papers should be uploaded to the class portal on Fridays by 5 p.m. I will grade them and send you feedback by the end of the weekend. Late papers will be marked down by one letter grade each day unless you speak with me ahead of time and receive an extension.",,,,What should students do every Friday?,Begin working on their papers.,Upload their papers to be graded.,Discuss the reading in groups.,Check for assignments on the class portal.,Upload their papers to be graded.,,,
24,Announcements,보통,Module 1,Announcement: Response Papers,,"Professor: Listen to an announcement in a classroom.
Professor: I want to remind you all that we will have a paper due every Friday. The paper should be a response to the week's reading and should be at least two pages long. Papers should be uploaded to the class portal on Fridays by 5 p.m. I will grade them and send you feedback by the end of the weekend. Late papers will be marked down by one letter grade each day unless you speak with me ahead of time and receive an extension.",,,,What is mentioned as a reason to speak with the professor?,Requesting an explanation of the grading policy.,Requesting an extension for an assignment.,Asking a question about some reading material.,Asking a question about the topic of a paper.,Requesting an extension for an assignment.,,,
25,Academic Talk,보통,Module 1,Talk: Why Ice Floats,,"Host: Listen to a talk on a physics podcast.
Host: Have you ever wondered why ice floats on water? It's a curious phenomenon that has puzzled scientists for centuries. Normally, solids are denser than liquids because their molecules are packed more closely together. But water has a unique molecular structure, and it behaves differently.
Host: As water molecules cool and form ice, they arrange themselves in a crystal structure that occupies more space than when they are in liquid form. This arrangement causes ice to be less dense than liquid water, enabling it to float.
Host: But why is this important beyond just curiosity? Imagine a world where ice sank. Lakes and ponds would freeze from the bottom up, and this could have a huge impact on aquatic ecosystems. Aquatic life relies on ice forming at the surface, which creates an insulating layer that prevents the entire body of water from freezing.
Host: This insulation is vital for the survival of fish and other animals during harsh winters. Even if the top layer is frozen, they can survive in the water underneath. Floating ice, especially in polar regions, also reflects a significant amount of sunlight back into space. This helps regulate global temperatures. If ice sank, it would disappear beneath the water, allowing more solar energy to be absorbed by the darker ocean or lake surfaces. This would lead to warmer water temperatures, accelerating global warming and disrupting climate patterns worldwide.",,,,What is the talk mainly about?,The structure of some molecules.,The causes and consequences of a natural phenomenon.,A survival strategy of animals in winter.,A common result of climate change.,The causes and consequences of a natural phenomenon.,,,
26,Academic Talk,보통,Module 1,Talk: Why Ice Floats,,"Host: Listen to a talk on a physics podcast.
Host: Have you ever wondered why ice floats on water? It's a curious phenomenon that has puzzled scientists for centuries. Normally, solids are denser than liquids because their molecules are packed more closely together. But water has a unique molecular structure, and it behaves differently.
Host: As water molecules cool and form ice, they arrange themselves in a crystal structure that occupies more space than when they are in liquid form. This arrangement causes ice to be less dense than liquid water, enabling it to float.
Host: But why is this important beyond just curiosity? Imagine a world where ice sank. Lakes and ponds would freeze from the bottom up, and this could have a huge impact on aquatic ecosystems. Aquatic life relies on ice forming at the surface, which creates an insulating layer that prevents the entire body of water from freezing.
Host: This insulation is vital for the survival of fish and other animals during harsh winters. Even if the top layer is frozen, they can survive in the water underneath. Floating ice, especially in polar regions, also reflects a significant amount of sunlight back into space. This helps regulate global temperatures. If ice sank, it would disappear beneath the water, allowing more solar energy to be absorbed by the darker ocean or lake surfaces. This would lead to warmer water temperatures, accelerating global warming and disrupting climate patterns worldwide.",,,,What difference between water and most other substances does the speaker discuss?,Scientists understand the structure of water molecules.,Water requires a lot of heat to change its temperature.,Water expands when it changes from liquid to solid.,Liquid water reflects a lot of sunlight.,Water expands when it changes from liquid to solid.,,,
27,Academic Talk,보통,Module 1,Talk: Why Ice Floats,,"Host: Listen to a talk on a physics podcast.
Host: Have you ever wondered why ice floats on water? It's a curious phenomenon that has puzzled scientists for centuries. Normally, solids are denser than liquids because their molecules are packed more closely together. But water has a unique molecular structure, and it behaves differently.
Host: As water molecules cool and form ice, they arrange themselves in a crystal structure that occupies more space than when they are in liquid form. This arrangement causes ice to be less dense than liquid water, enabling it to float.
Host: But why is this important beyond just curiosity? Imagine a world where ice sank. Lakes and ponds would freeze from the bottom up, and this could have a huge impact on aquatic ecosystems. Aquatic life relies on ice forming at the surface, which creates an insulating layer that prevents the entire body of water from freezing.
Host: This insulation is vital for the survival of fish and other animals during harsh winters. Even if the top layer is frozen, they can survive in the water underneath. Floating ice, especially in polar regions, also reflects a significant amount of sunlight back into space. This helps regulate global temperatures. If ice sank, it would disappear beneath the water, allowing more solar energy to be absorbed by the darker ocean or lake surfaces. This would lead to warmer water temperatures, accelerating global warming and disrupting climate patterns worldwide.",,,,Why does the speaker mention aquatic life?,To emphasize a difference between lakes where ice forms and lakes where it does not.,To explain the importance of the insulating effect of ice on the top of bodies of water.,To provide an example of a harmful effect of warming water temperatures.,To identify a curiosity that has puzzled scientists for centuries.,To explain the importance of the insulating effect of ice on the top of bodies of water.,,,
28,Academic Talk,보통,Module 1,Talk: Why Ice Floats,,"Host: Listen to a talk on a physics podcast.
Host: Have you ever wondered why ice floats on water? It's a curious phenomenon that has puzzled scientists for centuries. Normally, solids are denser than liquids because their molecules are packed more closely together. But water has a unique molecular structure, and it behaves differently.
Host: As water molecules cool and form ice, they arrange themselves in a crystal structure that occupies more space than when they are in liquid form. This arrangement causes ice to be less dense than liquid water, enabling it to float.
Host: But why is this important beyond just curiosity? Imagine a world where ice sank. Lakes and ponds would freeze from the bottom up, and this could have a huge impact on aquatic ecosystems. Aquatic life relies on ice forming at the surface, which creates an insulating layer that prevents the entire body of water from freezing.
Host: This insulation is vital for the survival of fish and other animals during harsh winters. Even if the top layer is frozen, they can survive in the water underneath. Floating ice, especially in polar regions, also reflects a significant amount of sunlight back into space. This helps regulate global temperatures. If ice sank, it would disappear beneath the water, allowing more solar energy to be absorbed by the darker ocean or lake surfaces. This would lead to warmer water temperatures, accelerating global warming and disrupting climate patterns worldwide.",,,,What difference between liquid water and ice does the speaker discuss at the end of the talk?,Ice temperatures change more quickly.,Ice can absorb more energy.,Ice is easier to see from space.,Ice reflects more light.,Ice reflects more light.,,,
29,Academic Talk,보통,Module 1,Talk: Musical Borrowing,,"Professor: Listen to a talk in a music class.
Professor: Have you ever listened to a piece of music and felt like you were suddenly somewhere else? Maybe walking through a Brazilian street market or climbing a misty mountain trail in China? That's the magic of musical borrowing, a practice where artists blend elements from different global traditions to create something fresh and emotionally resonant.
Professor: Take bossa nova, for example. It's a genre that merges the laid-back swing of United States jazz music with the rhythmic pulse of Brazilian samba. When you listen to bossa nova, it feels both familiar and new at the same time.
Professor: But successful musical borrowing isn't just about mixing sounds. It's about respect. When artists draw from other cultures, they need to understand the meanings behind the music. Composers like Tan Dun nail this in his score for the film Crouching Tiger, Hidden Dragon. He blends Chinese instruments like the erhu and pipa with Western orchestration, but not just for effect. The erhu's haunting tones and the pipa's intricate rhythms reflect centuries of Chinese musical storytelling.
Professor: Tan Dun doesn't just borrow. He honors the culture, letting its emotional depth shine through. Of course, fusion isn't always seamless. Sometimes the mix feels forced, or the original meaning gets lost. But when it works, when the traditions truly speak to each other, it's proof that music can be a universal language capable of bridging worlds and telling stories that transcend borders.",,,,How does the speaker begin the lecture?,By introducing his favorite music genre.,By pointing out an advantage of hearing local music live.,By describing possible reactions to listening to certain kinds of music.,By encouraging students to visit places where famous styles of music originated.,By describing possible reactions to listening to certain kinds of music.,,,
30,Academic Talk,보통,Module 1,Talk: Musical Borrowing,,"Professor: Listen to a talk in a music class.
Professor: Have you ever listened to a piece of music and felt like you were suddenly somewhere else? Maybe walking through a Brazilian street market or climbing a misty mountain trail in China? That's the magic of musical borrowing, a practice where artists blend elements from different global traditions to create something fresh and emotionally resonant.
Professor: Take bossa nova, for example. It's a genre that merges the laid-back swing of United States jazz music with the rhythmic pulse of Brazilian samba. When you listen to bossa nova, it feels both familiar and new at the same time.
Professor: But successful musical borrowing isn't just about mixing sounds. It's about respect. When artists draw from other cultures, they need to understand the meanings behind the music. Composers like Tan Dun nail this in his score for the film Crouching Tiger, Hidden Dragon. He blends Chinese instruments like the erhu and pipa with Western orchestration, but not just for effect. The erhu's haunting tones and the pipa's intricate rhythms reflect centuries of Chinese musical storytelling.
Professor: Tan Dun doesn't just borrow. He honors the culture, letting its emotional depth shine through. Of course, fusion isn't always seamless. Sometimes the mix feels forced, or the original meaning gets lost. But when it works, when the traditions truly speak to each other, it's proof that music can be a universal language capable of bridging worlds and telling stories that transcend borders.",,,,Why does the speaker mention bossa nova?,To emphasize the importance of rhythmic pulse in music.,To provide an example of a style that mixes musical sounds from different places.,To identify a style that influenced jazz music.,To explain the popularity of Brazilian music.,To provide an example of a style that mixes musical sounds from different places.,,,
31,Academic Talk,보통,Module 1,Talk: Musical Borrowing,,"Professor: Listen to a talk in a music class.
Professor: Have you ever listened to a piece of music and felt like you were suddenly somewhere else? Maybe walking through a Brazilian street market or climbing a misty mountain trail in China? That's the magic of musical borrowing, a practice where artists blend elements from different global traditions to create something fresh and emotionally resonant.
Professor: Take bossa nova, for example. It's a genre that merges the laid-back swing of United States jazz music with the rhythmic pulse of Brazilian samba. When you listen to bossa nova, it feels both familiar and new at the same time.
Professor: But successful musical borrowing isn't just about mixing sounds. It's about respect. When artists draw from other cultures, they need to understand the meanings behind the music. Composers like Tan Dun nail this in his score for the film Crouching Tiger, Hidden Dragon. He blends Chinese instruments like the erhu and pipa with Western orchestration, but not just for effect. The erhu's haunting tones and the pipa's intricate rhythms reflect centuries of Chinese musical storytelling.
Professor: Tan Dun doesn't just borrow. He honors the culture, letting its emotional depth shine through. Of course, fusion isn't always seamless. Sometimes the mix feels forced, or the original meaning gets lost. But when it works, when the traditions truly speak to each other, it's proof that music can be a universal language capable of bridging worlds and telling stories that transcend borders.",,,,What does the speaker emphasize about the music of Tan Dun?,It reflects the composer's own emotional experience.,It is more popular among Western audiences than among Chinese audiences.,It was inspired by a Chinese movie.,It shows a deep understanding of Chinese culture.,It shows a deep understanding of Chinese culture.,,,
32,Academic Talk,보통,Module 1,Talk: Musical Borrowing,,"Professor: Listen to a talk in a music class.
Professor: Have you ever listened to a piece of music and felt like you were suddenly somewhere else? Maybe walking through a Brazilian street market or climbing a misty mountain trail in China? That's the magic of musical borrowing, a practice where artists blend elements from different global traditions to create something fresh and emotionally resonant.
Professor: Take bossa nova, for example. It's a genre that merges the laid-back swing of United States jazz music with the rhythmic pulse of Brazilian samba. When you listen to bossa nova, it feels both familiar and new at the same time.
Professor: But successful musical borrowing isn't just about mixing sounds. It's about respect. When artists draw from other cultures, they need to understand the meanings behind the music. Composers like Tan Dun nail this in his score for the film Crouching Tiger, Hidden Dragon. He blends Chinese instruments like the erhu and pipa with Western orchestration, but not just for effect. The erhu's haunting tones and the pipa's intricate rhythms reflect centuries of Chinese musical storytelling.
Professor: Tan Dun doesn't just borrow. He honors the culture, letting its emotional depth shine through. Of course, fusion isn't always seamless. Sometimes the mix feels forced, or the original meaning gets lost. But when it works, when the traditions truly speak to each other, it's proof that music can be a universal language capable of bridging worlds and telling stories that transcend borders.",,,,"According to the talk, what is one challenge of musical borrowing?",The difficulty of combining different types of music well.,The high cost of using traditional instruments.,The limited interest from international audiences.,The lack of available resources for composers.,The difficulty of combining different types of music well.,,,
