questionNumber,questionType,difficulty,level,day,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,context
29,Read an Academic Passage,보통,1,01,Social Role Theory,"Social role theory is a significant framework in theoretical sociology, explaining how individuals adopt roles based on societal expectations. Society is structured by roles, each with specific behaviors and norms. A key aspect of social role theory is role conflict, which occurs when the expectations of one role clash with those of another. For instance, a person who is both a parent and an employee might struggle to balance caring for their children and meeting work obligations. This conflict can lead to stress and decreased performance in one or both roles. Another important concept is role strain, which is stress within a single role due to competing demands or insufficient resources. An example is a teacher who feels overwhelmed by the need to manage classroom behavior while also keeping lessons engaging. Social role theory also addresses how roles change over time. As society evolves, the expectations attached to roles can shift. For example, the role of women in the workforce has changed dramatically, with increasing acceptance of women in leadership. Understanding these dynamics is crucial for analyzing how social structures impact individual behavior and societal change.",,,,,"The phrase ""these dynamics"" in the passage refers to",the evolution of social roles over time,competition for leadership positions,interactions between men and women in the workforce,decreasing prestige of some social roles,the evolution of social roles over time,,
30,Read an Academic Passage,어려움,1,01,Social Role Theory,"Social role theory is a significant framework in theoretical sociology, explaining how individuals adopt roles based on societal expectations. Society is structured by roles, each with specific behaviors and norms. A key aspect of social role theory is role conflict, which occurs when the expectations of one role clash with those of another. For instance, a person who is both a parent and an employee might struggle to balance caring for their children and meeting work obligations. This conflict can lead to stress and decreased performance in one or both roles. Another important concept is role strain, which is stress within a single role due to competing demands or insufficient resources. An example is a teacher who feels overwhelmed by the need to manage classroom behavior while also keeping lessons engaging. Social role theory also addresses how roles change over time. As society evolves, the expectations attached to roles can shift. For example, the role of women in the workforce has changed dramatically, with increasing acceptance of women in leadership. Understanding these dynamics is crucial for analyzing how social structures impact individual behavior and societal change.",,,,,"There are four locations in the passage where the following sentence could be added: ""For example, a parent is expected to offer affection and emotional stability to their children, while a soldier is expected to follow orders."" Where would the sentence best fit?","After ""...each with specific behaviors and norms.""","After ""...decreased performance in one or both roles.""","After ""...keeping lessons engaging.""","After ""...individual behavior and societal change.""","After ""...decreased performance in one or both roles.""",,
31,Read an Academic Passage,보통,1,01,Unveiling Earth's Core,"Geophysicists have long been intrigued by Earth's core (the center of Earth). When earthquakes occur, they send seismic waves through the planet, offering rare glimpses into this mysterious world. Interestingly, these waves sometimes slow down in unexpected ways, suggesting that the core's makeup may be more complex than just iron and nickel as previously believed. Some scientists suggest it might not be entirely solid, possibly containing molten layers or unusual elements that create a unique state of matter.

Advanced computer models now depict the core not as a homogeneous sphere, but as a layered structure with distinct regions. These models also propose phenomena like super-rotation—where the inner core (the inner part of Earth's core) spins slightly faster than the rest of the planet—and directional differences in wave behavior, known as anisotropies. Collectively, these findings portray a core in constant motion.

But is this picture complete? Some researchers argue that these models rely on overly simplified assumptions. Truly understanding the inner core demands cutting-edge technology and fresh perspectives. The limitations of current theories remind us that the deeper we explore planetary science, the more we challenge our understanding of it.",,,,,Why does the author discuss earthquakes in paragraph 1?,To demonstrate the fascination of geophysicists with Earth's core,To explain one way scientists gain insights into Earth's core,To highlight the destructive effects of seismic waves on Earth's core,To challenge the idea that Earth's core is a mysterious world,To demonstrate the fascination of geophysicists with Earth's core,,
32,Read an Academic Passage,보통,1,01,Unveiling Earth's Core,"Geophysicists have long been intrigued by Earth's core (the center of Earth). When earthquakes occur, they send seismic waves through the planet, offering rare glimpses into this mysterious world. Interestingly, these waves sometimes slow down in unexpected ways, suggesting that the core's makeup may be more complex than just iron and nickel as previously believed. Some scientists suggest it might not be entirely solid, possibly containing molten layers or unusual elements that create a unique state of matter.

Advanced computer models now depict the core not as a homogeneous sphere, but as a layered structure with distinct regions. These models also propose phenomena like super-rotation—where the inner core (the inner part of Earth's core) spins slightly faster than the rest of the planet—and directional differences in wave behavior, known as anisotropies. Collectively, these findings portray a core in constant motion.

But is this picture complete? Some researchers argue that these models rely on overly simplified assumptions. Truly understanding the inner core demands cutting-edge technology and fresh perspectives. The limitations of current theories remind us that the deeper we explore planetary science, the more we challenge our understanding of it.",,,,,Why might seismic waves slow down when passing through Earth's core?,Because of the solid nature of the core,Because of the presence of iron and nickel,Because of the possible presence of molten layers or unusual elements,Because of the strength of the elements that make up the core,Because of the possible presence of molten layers or unusual elements,,
33,Read an Academic Passage,보통,1,01,Unveiling Earth's Core,"Geophysicists have long been intrigued by Earth's core (the center of Earth). When earthquakes occur, they send seismic waves through the planet, offering rare glimpses into this mysterious world. Interestingly, these waves sometimes slow down in unexpected ways, suggesting that the core's makeup may be more complex than just iron and nickel as previously believed. Some scientists suggest it might not be entirely solid, possibly containing molten layers or unusual elements that create a unique state of matter.

Advanced computer models now depict the core not as a homogeneous sphere, but as a layered structure with distinct regions. These models also propose phenomena like super-rotation—where the inner core (the inner part of Earth's core) spins slightly faster than the rest of the planet—and directional differences in wave behavior, known as anisotropies. Collectively, these findings portray a core in constant motion.

But is this picture complete? Some researchers argue that these models rely on overly simplified assumptions. Truly understanding the inner core demands cutting-edge technology and fresh perspectives. The limitations of current theories remind us that the deeper we explore planetary science, the more we challenge our understanding of it.",,,,,"The word ""Collectively"" in the passage is closest in meaning to",generally,together,somehow,interestingly,together,,
34,Read an Academic Passage,보통,1,01,Unveiling Earth's Core,"Geophysicists have long been intrigued by Earth's core (the center of Earth). When earthquakes occur, they send seismic waves through the planet, offering rare glimpses into this mysterious world. Interestingly, these waves sometimes slow down in unexpected ways, suggesting that the core's makeup may be more complex than just iron and nickel as previously believed. Some scientists suggest it might not be entirely solid, possibly containing molten layers or unusual elements that create a unique state of matter.

Advanced computer models now depict the core not as a homogeneous sphere, but as a layered structure with distinct regions. These models also propose phenomena like super-rotation—where the inner core (the inner part of Earth's core) spins slightly faster than the rest of the planet—and directional differences in wave behavior, known as anisotropies. Collectively, these findings portray a core in constant motion.

But is this picture complete? Some researchers argue that these models rely on overly simplified assumptions. Truly understanding the inner core demands cutting-edge technology and fresh perspectives. The limitations of current theories remind us that the deeper we explore planetary science, the more we challenge our understanding of it.",,,,,Advanced computer models suggest all of the following about Earth's core EXCEPT:,Earth's core has different layers.,The inner part of Earth's core rotates a little faster than other parts of Earth do.,Wave behavior in Earth's core shows directional differences.,The super-rotation of Earth's core is caused by anisotropies.,The super-rotation of Earth's core is caused by anisotropies.,,
35,Read an Academic Passage,보통,1,01,Unveiling Earth's Core,"Geophysicists have long been intrigued by Earth's core (the center of Earth). When earthquakes occur, they send seismic waves through the planet, offering rare glimpses into this mysterious world. Interestingly, these waves sometimes slow down in unexpected ways, suggesting that the core's makeup may be more complex than just iron and nickel as previously believed. Some scientists suggest it might not be entirely solid, possibly containing molten layers or unusual elements that create a unique state of matter.

Advanced computer models now depict the core not as a homogeneous sphere, but as a layered structure with distinct regions. These models also propose phenomena like super-rotation—where the inner core (the inner part of Earth's core) spins slightly faster than the rest of the planet—and directional differences in wave behavior, known as anisotropies. Collectively, these findings portray a core in constant motion.

But is this picture complete? Some researchers argue that these models rely on overly simplified assumptions. Truly understanding the inner core demands cutting-edge technology and fresh perspectives. The limitations of current theories remind us that the deeper we explore planetary science, the more we challenge our understanding of it.",,,,,Identify the sentence in paragraph 3 that describes a specific criticism of computer models of the inner core.,But is this picture complete?,Some researchers argue that these models rely on overly simplified assumptions.,Truly understanding the inner core demands cutting-edge technology and fresh perspectives.,"The limitations of current theories remind us that the deeper we explore planetary science, the more we challenge our understanding of it.",Some researchers argue that these models rely on overly simplified assumptions.,,
36-45,Complete Words,보통,1,02,Plants,"Plants have evolved various structures to optimize photosynthesis (the capture and conversion of light energy) and survival. Roots anc[hor] the plant a[nd] absorb wa[ter] and mine[rals] from t[he] soil. Leaves a[re] the pri[mary] sites o[f] photosynthesis. Their br[oad], flat surf[aces] maximize light absorption. The stem supports the leaves and transports nutrients and water through the vascular system, which consists of xylem and phloem. Some plants, like succulents, store water in their thick leaves to endure arid conditions.",,,,,Fill in the missing letters in the paragraph.,,,,,,,
46,Read an Academic Passage,보통,1,02,Stretching: Benefits and Drawbacks,"Stretching has long been championed as integral to physical fitness, widely believed to enhance flexibility and reduce injury risk. However, research supports a more nuanced picture, with the distinction between dynamic and static stretching being particularly critical.

Dynamic stretching, involving controlled, fluid movements through a range of motion, apparently improves athletic performance by priming muscles for activity. In contrast, static stretching, the holding of a position for an extended period, seems to hinder performance of subsequent exercise. Related studies show that static stretching can temporarily reduce muscle strength, likely due to reduced muscle activation through the nervous system and a decrease in muscle stiffness, both of which can impair the ability to generate force. For example, athletes engaging in static pre-competition stretches often exhibit diminished sprint speed and vertical jump height.

There is, however, a key qualification to this contrast: While static stretching may be detrimental before exertion, it remains valuable post-exercise, aiding in recovery and flexibility maintenance. Meanwhile, dynamic stretching not only prepares the body physically but may also enhance coordination and neuromuscular efficiency. The evolving understanding of these techniques challenges the one-size-fits-all approach to stretching, suggesting that timing, context, and type are essential variables in optimizing physical readiness and long-term fitness outcomes.",,,,,"According to the passage, dynamic stretching may result in all of the following EXCEPT",decreased range of motion,better performance in sports,improved coordination,more efficient communication between nerves and muscles,decreased range of motion,,
47,Read an Academic Passage,보통,1,02,Stretching: Benefits and Drawbacks,"Stretching has long been championed as integral to physical fitness, widely believed to enhance flexibility and reduce injury risk. However, research supports a more nuanced picture, with the distinction between dynamic and static stretching being particularly critical.

Dynamic stretching, involving controlled, fluid movements through a range of motion, apparently improves athletic performance by priming muscles for activity. In contrast, static stretching, the holding of a position for an extended period, seems to hinder performance of subsequent exercise. Related studies show that static stretching can temporarily reduce muscle strength, likely due to reduced muscle activation through the nervous system and a decrease in muscle stiffness, both of which can impair the ability to generate force. For example, athletes engaging in static pre-competition stretches often exhibit diminished sprint speed and vertical jump height.

There is, however, a key qualification to this contrast: While static stretching may be detrimental before exertion, it remains valuable post-exercise, aiding in recovery and flexibility maintenance. Meanwhile, dynamic stretching not only prepares the body physically but may also enhance coordination and neuromuscular efficiency. The evolving understanding of these techniques challenges the one-size-fits-all approach to stretching, suggesting that timing, context, and type are essential variables in optimizing physical readiness and long-term fitness outcomes.",,,,,"The word ""impair"" in the passage is closest in meaning to",aid,reinforce,end,weaken,weaken,,
48,Read an Academic Passage,보통,1,02,Stretching: Benefits and Drawbacks,"Stretching has long been championed as integral to physical fitness, widely believed to enhance flexibility and reduce injury risk. However, research supports a more nuanced picture, with the distinction between dynamic and static stretching being particularly critical.

Dynamic stretching, involving controlled, fluid movements through a range of motion, apparently improves athletic performance by priming muscles for activity. In contrast, static stretching, the holding of a position for an extended period, seems to hinder performance of subsequent exercise. Related studies show that static stretching can temporarily reduce muscle strength, likely due to reduced muscle activation through the nervous system and a decrease in muscle stiffness, both of which can impair the ability to generate force. For example, athletes engaging in static pre-competition stretches often exhibit diminished sprint speed and vertical jump height.

There is, however, a key qualification to this contrast: While static stretching may be detrimental before exertion, it remains valuable post-exercise, aiding in recovery and flexibility maintenance. Meanwhile, dynamic stretching not only prepares the body physically but may also enhance coordination and neuromuscular efficiency. The evolving understanding of these techniques challenges the one-size-fits-all approach to stretching, suggesting that timing, context, and type are essential variables in optimizing physical readiness and long-term fitness outcomes.",,,,,The passage implies that competitive athletes may most benefit from static stretching when they,need to increase muscle strength,have issues with muscle activation,have completed a training session,are preparing for a sprint,have completed a training session,,
49,Read an Academic Passage,보통,1,02,Stretching: Benefits and Drawbacks,"Stretching has long been championed as integral to physical fitness, widely believed to enhance flexibility and reduce injury risk. However, research supports a more nuanced picture, with the distinction between dynamic and static stretching being particularly critical.

Dynamic stretching, involving controlled, fluid movements through a range of motion, apparently improves athletic performance by priming muscles for activity. In contrast, static stretching, the holding of a position for an extended period, seems to hinder performance of subsequent exercise. Related studies show that static stretching can temporarily reduce muscle strength, likely due to reduced muscle activation through the nervous system and a decrease in muscle stiffness, both of which can impair the ability to generate force. For example, athletes engaging in static pre-competition stretches often exhibit diminished sprint speed and vertical jump height.

There is, however, a key qualification to this contrast: While static stretching may be detrimental before exertion, it remains valuable post-exercise, aiding in recovery and flexibility maintenance. Meanwhile, dynamic stretching not only prepares the body physically but may also enhance coordination and neuromuscular efficiency. The evolving understanding of these techniques challenges the one-size-fits-all approach to stretching, suggesting that timing, context, and type are essential variables in optimizing physical readiness and long-term fitness outcomes.",,,,,"Why does the author refer to ""timing, context, and type"" in the passage?",To specify factors that must be considered when stretching,To list the variables that affect an athlete's performance,To refer to additional kinds of stretching developed by researchers,To underscore the complexity of factors influencing coordination,To specify factors that must be considered when stretching,,
50,Read an Academic Passage,어려움,1,02,Stretching: Benefits and Drawbacks,"Stretching has long been championed as integral to physical fitness, widely believed to enhance flexibility and reduce injury risk. However, research supports a more nuanced picture, with the distinction between dynamic and static stretching being particularly critical.

Dynamic stretching, involving controlled, fluid movements through a range of motion, apparently improves athletic performance by priming muscles for activity. In contrast, static stretching, the holding of a position for an extended period, seems to hinder performance of subsequent exercise. Related studies show that static stretching can temporarily reduce muscle strength, likely due to reduced muscle activation through the nervous system and a decrease in muscle stiffness, both of which can impair the ability to generate force. For example, athletes engaging in static pre-competition stretches often exhibit diminished sprint speed and vertical jump height.

There is, however, a key qualification to this contrast: While static stretching may be detrimental before exertion, it remains valuable post-exercise, aiding in recovery and flexibility maintenance. Meanwhile, dynamic stretching not only prepares the body physically but may also enhance coordination and neuromuscular efficiency. The evolving understanding of these techniques challenges the one-size-fits-all approach to stretching, suggesting that timing, context, and type are essential variables in optimizing physical readiness and long-term fitness outcomes.",,,,,"There are four locations in the passage where the following sentence could be added: ""Elite swimmers often perform static stretches after intense training sessions to relieve muscle tightness in the shoulders and hips and prevent overuse injuries."" Where would the sentence best fit?","Before ""There is, however, a key qualification to this contrast""","After ""...aiding in recovery and flexibility maintenance.""","After ""...coordination and neuromuscular efficiency.""","After ""...long-term fitness outcomes.""","After ""...aiding in recovery and flexibility maintenance.""",,
