questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
1,Listen and Response (Module 2),보통,Module 2,,,,,,,Choose the best response.,"Yes, my vehicle is in the shop for repairs.","Yes, I bought some of them yesterday.","No, motorized vehicles aren't allowed on campus.","Great, I'd love to accessorize my outfit with some jewelry.","Yes, I bought some of them yesterday.",,,
2,Listen and Response (Module 2),보통,Module 2,,,,,,,Choose the best response.,It held my attention the entire time.,I need to finish my homework first.,I was thrilled to see her as well.,That sounds like a great class to take.,It held my attention the entire time.,,,
3,Listen and Response (Module 2),보통,Module 2,,,,,,,Choose the best response.,Maybe. I'll think about it.,It was crowded.,"Can we look at the schedule, please?",He'll start a new job soon.,It was crowded.,,,
4,Short Conversation (Module 2),보통,Module 2,Listen to a conversation.,,,,,,Why is the woman interested in water aerobics?,She wants to get more exercise.,She prefers them to swimming laps.,The classes fit easily into her schedule.,The motions are good for her back.,She wants to get more exercise.,,,
5,Short Conversation (Module 2),보통,Module 2,Listen to a conversation.,,,,,,What past problem does the man mention?,He accidentally threw out an important paper.,He lost a key when jumping into the pool.,He injured himself during a workout.,He used to be scared of going underwater.,He injured himself during a workout.,,,
6,Short Conversation (Module 2),보통,Module 2,Listen to a conversation.,,,,,,What does the man invite the woman to do?,Meet his friends,Work with him,Visit a local neighborhood,Borrow a book,Work with him.,,,
7,Short Conversation (Module 2),보통,Module 2,Listen to a conversation.,,,,,,Why does the woman mention lawn mowers?,To identify a lack of skill,To describe a new interest,To make a recommendation,To discuss a recent purchase,To identify a lack of skill.,,,
8,Academic Talk (Module 2),보통,Module 2,Listen to a talk in a biology class.,,,,,,What is the main topic of the talk?,The feeding habits of migratory animals,Animal migration and its characteristics,Challenges faced by migratory species,Navigational methods used by migrating animals,Animal migration and its characteristics,,,
9,Academic Talk (Module 2),보통,Module 2,Listen to a talk in a biology class.,,,,,,Why does the speaker mention human pilots?,To illustrate the complexity of animal navigation,To suggest that birds might follow flight paths,To discuss the impact of airplanes on the climate,To describe human interference in migration,To illustrate the complexity of animal navigation.,,,
10,Academic Talk (Module 2),보통,Module 2,Listen to a talk in a biology class.,,,,,,What is unusual about the migration of monarch butterflies?,They migrate from a colder to a warmer region.,Their migration requires precise navigation skills.,A single migration occurs over multiple generations.,A migrating monarch eats nothing until it reaches its destination.,A single migration occurs over multiple generations.,,,
11,Academic Talk (Module 2),보통,Module 2,Listen to a talk in a biology class.,,,,,,"Why does the speaker mention ""human-made obstacles""?",To explain how animals adapt to urban environments,To contrast migration by sea to migration over land,To describe a common reason for animal migration,To emphasize the need to protect migratory routes,To emphasize the need to protect migratory routes.,,,
12,Academic Talk (Module 2),보통,Module 2,Listen to a talk on an ecology podcast.,,,,,,What was the main reason animals were moved from one island in the Galapagos to another island?,To restore an ecosystem,To increase tourism,To prevent the animals from becoming extinct,To provide the animals with better living conditions,To restore an ecosystem.,,,
13,Academic Talk (Module 2),보통,Module 2,Listen to a talk on an ecology podcast.,,,,,,What difference does the speaker point out between Santa Fe Island and Española Island?,One island is closer to the mainland than the other.,More tourists visit one island than the other.,There are more species of cactus on one island than on the other.,Tortoises went extinct on one island but not the other.,Tortoises went extinct on one island but not the other.,,,
14,Academic Talk (Module 2),보통,Module 2,Listen to a talk on an ecology podcast.,,,,,,What does the speaker say about a species of cactus?,It is only eaten by one species of tortoise.,It produces fruit that is larger than the fruit of other plants.,It has benefited from the reintroduction of a species of tortoise.,It has seeds that are difficult for animals to digest.,It has benefited from the reintroduction of a species of tortoise.,,,
15,Academic Talk (Module 2),보통,Module 2,Listen to a talk on an ecology podcast.,,,,,,What does the speaker say about the results of a conservation project?,It is too early to determine if its goals have been achieved.,It has only been successful for certain types of animals.,It is too expensive to repeat in other parts of the world.,It is taking more time than conservationists expected.,It has only been successful for certain types of animals.,,,
