questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
29,Read an Academic Passage,보통,Module 1,Data Visualization in Action,"Data visualization is transforming how we interpret complex datasets, moving beyond traditional charts, such as static charts and graphs, to dynamic graphical representations, such as heat maps, time-lapse animations, and network graphs. This shift allows for the discovery of patterns and anomalies otherwise hidden in raw data. For example, when studying climate change impacts, a time-lapse heat map might reveal unexpected temperature shifts over decades that spreadsheets alone could not capture.

A significant development in this field is the use of interactive dashboards. These tools not only display data but also allow users to manipulate variables to explore different scenarios. In the business sector, decision-makers use dashboards to simulate market conditions, adjusting factors like demand and supply to forecast outcomes. However, the effectiveness of these dashboards often hinges on the user's ability to interpret complex visual cues, which can be overwhelming.

In the realm of public health, data visualization has proven invaluable in tracking disease spread. The combination of geographical maps and timelines helps analysts predict outbreak hot spots. Nonetheless, this predictive power depends heavily on the quality of data inputs. Still, data visualization tools help public health officials to act before a situation becomes unmanageable.",,,,,The passage mentions all the following about interactive dashboards EXCEPT:,They represent an important development in data analysis tools.,They let users change variables to see different outcomes.,They can be used to explore how markets might behave.,They help business leaders interact more effectively with one another.,They help business leaders interact more effectively with one another.,,,
30,Read an Academic Passage,보통,Module 1,Data Visualization in Action,"Data visualization is transforming how we interpret complex datasets, moving beyond traditional charts, such as static charts and graphs, to dynamic graphical representations, such as heat maps, time-lapse animations, and network graphs. This shift allows for the discovery of patterns and anomalies otherwise hidden in raw data. For example, when studying climate change impacts, a time-lapse heat map might reveal unexpected temperature shifts over decades that spreadsheets alone could not capture.

A significant development in this field is the use of interactive dashboards. These tools not only display data but also allow users to manipulate variables to explore different scenarios. In the business sector, decision-makers use dashboards to simulate market conditions, adjusting factors like demand and supply to forecast outcomes. However, the effectiveness of these dashboards often hinges on the user's ability to interpret complex visual cues, which can be overwhelming.

In the realm of public health, data visualization has proven invaluable in tracking disease spread. The combination of geographical maps and timelines helps analysts predict outbreak hot spots. Nonetheless, this predictive power depends heavily on the quality of data inputs. Still, data visualization tools help public health officials to act before a situation becomes unmanageable.",,,,,"There are four locations in the passage that indicate where the following sentence could be added: ""Incomplete or biased data can lead to misleading conclusions, potentially hampering response efforts."" Where would the sentence best fit?",Location 1,Location 2,Location 3,Location 4,Location 3,,,
31,Read an Academic Passage,보통,Module 1,Plant Communication,"The discovery that plants use communication has changed our understanding of plant behavior and ecology. Traditionally, plants were considered passive organisms, reacting to environmental changes rather than actively engaging with their surroundings. However, studies have shown that plants can send chemical signals through the soil. These signals, often carried by root exudates (substances released by the plants' roots into the soil), can inform neighboring plants about threats like plant-eating animals or disease-causing agents. For instance, when a corn plant is attacked by caterpillars, it can release specific chemicals that warn nearby corn plants. In response, the neighboring corn plants may release a chemical known as MBOA into their tissues, which makes them less palatable to the caterpillars.

Plants also use electrical signals to respond rapidly to environmental changes. These signals travel through the plant, allowing it to adjust resource allocation. Some plants can even detect the presence of other plants through their roots. This allows them to alter their growth patterns to avoid direct competition.

Despite these discoveries, the study of plant communication is still in its infancy. Researchers are continuously uncovering new ways that plants interact with each other and their environment.",,,,,"According to the passage, there used to be a mistaken view that plants",often changed their behavior,released root exudates only in small amounts,were not significantly affected by ecological factors,did not actively interact with other plants,did not actively interact with other plants,,,
32,Read an Academic Passage,보통,Module 1,Plant Communication,"The discovery that plants use communication has changed our understanding of plant behavior and ecology. Traditionally, plants were considered passive organisms, reacting to environmental changes rather than actively engaging with their surroundings. However, studies have shown that plants can send chemical signals through the soil. These signals, often carried by root exudates (substances released by the plants' roots into the soil), can inform neighboring plants about threats like plant-eating animals or disease-causing agents. For instance, when a corn plant is attacked by caterpillars, it can release specific chemicals that warn nearby corn plants. In response, the neighboring corn plants may release a chemical known as MBOA into their tissues, which makes them less palatable to the caterpillars.

Plants also use electrical signals to respond rapidly to environmental changes. These signals travel through the plant, allowing it to adjust resource allocation. Some plants can even detect the presence of other plants through their roots. This allows them to alter their growth patterns to avoid direct competition.

Despite these discoveries, the study of plant communication is still in its infancy. Researchers are continuously uncovering new ways that plants interact with each other and their environment.",,,,,"According to the passage, corn plants may release MBOA into their tissues in response to",harmful chemicals released by caterpillars,electrical signals in the soil,human activities that alter the environment,root exudates produced by other corn plants,harmful chemicals released by caterpillars,,,
33,Read an Academic Passage,보통,Module 1,Plant Communication,"The discovery that plants use communication has changed our understanding of plant behavior and ecology. Traditionally, plants were considered passive organisms, reacting to environmental changes rather than actively engaging with their surroundings. However, studies have shown that plants can send chemical signals through the soil. These signals, often carried by root exudates (substances released by the plants' roots into the soil), can inform neighboring plants about threats like plant-eating animals or disease-causing agents. For instance, when a corn plant is attacked by caterpillars, it can release specific chemicals that warn nearby corn plants. In response, the neighboring corn plants may release a chemical known as MBOA into their tissues, which makes them less palatable to the caterpillars.

Plants also use electrical signals to respond rapidly to environmental changes. These signals travel through the plant, allowing it to adjust resource allocation. Some plants can even detect the presence of other plants through their roots. This allows them to alter their growth patterns to avoid direct competition.

Despite these discoveries, the study of plant communication is still in its infancy. Researchers are continuously uncovering new ways that plants interact with each other and their environment.",,,,,What can be inferred to be the purpose of electrical signals that plants release?,To attract beneficial animals to the plants,To prevent attack by caterpillars on the plants,To help the plants make the best use of available resources,To communicate with other plants across long distances,To help the plants make the best use of available resources,,,
34,Read an Academic Passage,보통,Module 1,Plant Communication,"The discovery that plants use communication has changed our understanding of plant behavior and ecology. Traditionally, plants were considered passive organisms, reacting to environmental changes rather than actively engaging with their surroundings. However, studies have shown that plants can send chemical signals through the soil. These signals, often carried by root exudates (substances released by the plants' roots into the soil), can inform neighboring plants about threats like plant-eating animals or disease-causing agents. For instance, when a corn plant is attacked by caterpillars, it can release specific chemicals that warn nearby corn plants. In response, the neighboring corn plants may release a chemical known as MBOA into their tissues, which makes them less palatable to the caterpillars.

Plants also use electrical signals to respond rapidly to environmental changes. These signals travel through the plant, allowing it to adjust resource allocation. Some plants can even detect the presence of other plants through their roots. This allows them to alter their growth patterns to avoid direct competition.

Despite these discoveries, the study of plant communication is still in its infancy. Researchers are continuously uncovering new ways that plants interact with each other and their environment.",,,,,Knowledge about the presence of other plants can help a plant to,change its growth in a way that reduces competition,prevent major damage to its roots,identify additional resources,determine which chemicals to release into the soil,change its growth in a way that reduces competition,,,
35,Read an Academic Passage,보통,Module 1,Plant Communication,"The discovery that plants use communication has changed our understanding of plant behavior and ecology. Traditionally, plants were considered passive organisms, reacting to environmental changes rather than actively engaging with their surroundings. However, studies have shown that plants can send chemical signals through the soil. These signals, often carried by root exudates (substances released by the plants' roots into the soil), can inform neighboring plants about threats like plant-eating animals or disease-causing agents. For instance, when a corn plant is attacked by caterpillars, it can release specific chemicals that warn nearby corn plants. In response, the neighboring corn plants may release a chemical known as MBOA into their tissues, which makes them less palatable to the caterpillars.

Plants also use electrical signals to respond rapidly to environmental changes. These signals travel through the plant, allowing it to adjust resource allocation. Some plants can even detect the presence of other plants through their roots. This allows them to alter their growth patterns to avoid direct competition.

Despite these discoveries, the study of plant communication is still in its infancy. Researchers are continuously uncovering new ways that plants interact with each other and their environment.",,,,,"The phrase ""still in its infancy"" in the passage is closest in meaning to",highly controversial,in a difficult period,looking for funding,at an early stage,at an early stage,,,
1-10,Complete Words (Module 2),보통,Module 2,Water and Volcanic Activity,"The discovery of water and volcanic activity on moons like Europa and Enceladus has sparked interest in the potential for extraterrestrial life. These moons, orbi[ting] the pla[nets] Jupiter a[nd] Saturn, ha[ve] ice-covered surfaces, with oce[ans] lying underneath. Volcanic acti[vity], in t[he] form o[f] hydrothermal vents, provides heat and nutrients, creating environments where microbial life could potentially thrive. Missions by spacecraft such as the Galileo and Cassini have gathered valuable data on these moons.",,,,,Fill in the missing letters in the paragraph.,,,,,,,
11,Read an Academic Passage (Module 2),보통,Module 2,The Political Legacy of the Roman Empire,"The fall of the Roman Empire reshaped the geopolitical landscape of Europe and the Mediterranean in profound ways. One widely accepted hypothesis is that the collapse of Roman administrative and military structures led to the fragmentation of centralized authority. Without Rome's unifying legal framework, power devolved to local warlords and tribal leaders, paving the way for feudalism and a mosaic of competing kingdoms. This decentralization fostered chronic instability, as seen in the frequent conflicts among the Franks, Visigoths, and Lombards.

However, some scholars argue that this fragmentation was not purely detrimental. The absence of a dominant empire may have encouraged regional innovation and adaptability. For instance, the Carolingian Renaissance under Charlemagne suggests that localized rule could still produce cultural and intellectual flourishing. The emergence of monastic communities during this period also played a crucial role in preserving classical knowledge and fostering educational continuity across fragmented territories.

Another compelling example is the Byzantine Empire, which retained Roman governance in the East and acted as a stabilizing force for centuries. Its survival challenges the notion that imperial collapse inevitably leads to disorder.

While the fall of Rome dismantled a centralized system, it also opened space for diverse political experiments—some chaotic, and others surprisingly resilient.",,,,,"The word ""fostered"" in the passage is closest in meaning to",accepted,revealed,preceded,promoted,promoted,,,
12,Read an Academic Passage (Module 2),보통,Module 2,The Political Legacy of the Roman Empire,"The fall of the Roman Empire reshaped the geopolitical landscape of Europe and the Mediterranean in profound ways. One widely accepted hypothesis is that the collapse of Roman administrative and military structures led to the fragmentation of centralized authority. Without Rome's unifying legal framework, power devolved to local warlords and tribal leaders, paving the way for feudalism and a mosaic of competing kingdoms. This decentralization fostered chronic instability, as seen in the frequent conflicts among the Franks, Visigoths, and Lombards.

However, some scholars argue that this fragmentation was not purely detrimental. The absence of a dominant empire may have encouraged regional innovation and adaptability. For instance, the Carolingian Renaissance under Charlemagne suggests that localized rule could still produce cultural and intellectual flourishing. The emergence of monastic communities during this period also played a crucial role in preserving classical knowledge and fostering educational continuity across fragmented territories.

Another compelling example is the Byzantine Empire, which retained Roman governance in the East and acted as a stabilizing force for centuries. Its survival challenges the notion that imperial collapse inevitably leads to disorder.

While the fall of Rome dismantled a centralized system, it also opened space for diverse political experiments—some chaotic, and others surprisingly resilient.",,,,,Which of the following best describes the main purpose of paragraph 1?,To highlight the cultural achievements that followed the Roman Empire's collapse,To argue that the fall of Rome had minimal impact on European governance,To present a common explanation for the political fragmentation after Rome's fall,To explain the decline of the Roman Empire in the face of competing kingdoms,To present a common explanation for the political fragmentation after Rome's fall,,,
13,Read an Academic Passage (Module 2),보통,Module 2,The Political Legacy of the Roman Empire,"The fall of the Roman Empire reshaped the geopolitical landscape of Europe and the Mediterranean in profound ways. One widely accepted hypothesis is that the collapse of Roman administrative and military structures led to the fragmentation of centralized authority. Without Rome's unifying legal framework, power devolved to local warlords and tribal leaders, paving the way for feudalism and a mosaic of competing kingdoms. This decentralization fostered chronic instability, as seen in the frequent conflicts among the Franks, Visigoths, and Lombards.

However, some scholars argue that this fragmentation was not purely detrimental. The absence of a dominant empire may have encouraged regional innovation and adaptability. For instance, the Carolingian Renaissance under Charlemagne suggests that localized rule could still produce cultural and intellectual flourishing. The emergence of monastic communities during this period also played a crucial role in preserving classical knowledge and fostering educational continuity across fragmented territories.

Another compelling example is the Byzantine Empire, which retained Roman governance in the East and acted as a stabilizing force for centuries. Its survival challenges the notion that imperial collapse inevitably leads to disorder.

While the fall of Rome dismantled a centralized system, it also opened space for diverse political experiments—some chaotic, and others surprisingly resilient.",,,,,Why does the author mention the Carolingian Renaissance?,To illustrate that cultural growth was still possible despite political fragmentation,To show how Charlemagne attempted to restore the Roman Empire's boundaries,To argue that feudalism was a direct result of the Roman Empire's policies,To explain the role of military conflicts in shaping post-Roman Europe,To illustrate that cultural growth was still possible despite political fragmentation,,,
14,Read an Academic Passage (Module 2),보통,Module 2,The Political Legacy of the Roman Empire,"The fall of the Roman Empire reshaped the geopolitical landscape of Europe and the Mediterranean in profound ways. One widely accepted hypothesis is that the collapse of Roman administrative and military structures led to the fragmentation of centralized authority. Without Rome's unifying legal framework, power devolved to local warlords and tribal leaders, paving the way for feudalism and a mosaic of competing kingdoms. This decentralization fostered chronic instability, as seen in the frequent conflicts among the Franks, Visigoths, and Lombards.

However, some scholars argue that this fragmentation was not purely detrimental. The absence of a dominant empire may have encouraged regional innovation and adaptability. For instance, the Carolingian Renaissance under Charlemagne suggests that localized rule could still produce cultural and intellectual flourishing. The emergence of monastic communities during this period also played a crucial role in preserving classical knowledge and fostering educational continuity across fragmented territories.

Another compelling example is the Byzantine Empire, which retained Roman governance in the East and acted as a stabilizing force for centuries. Its survival challenges the notion that imperial collapse inevitably leads to disorder.

While the fall of Rome dismantled a centralized system, it also opened space for diverse political experiments—some chaotic, and others surprisingly resilient.",,,,,The passage mentions each of the following as a consequence of the Roman Empire's collapse EXCEPT,the rise of feudalism and competing regional kingdoms,the expansion of the Byzantine Empire into Western Europe,the preservation of classical knowledge in monastic communities,the transfer of political authority to local leaders,the expansion of the Byzantine Empire into Western Europe,,,
15,Read an Academic Passage (Module 2),보통,Module 2,The Political Legacy of the Roman Empire,"The fall of the Roman Empire reshaped the geopolitical landscape of Europe and the Mediterranean in profound ways. One widely accepted hypothesis is that the collapse of Roman administrative and military structures led to the fragmentation of centralized authority. Without Rome's unifying legal framework, power devolved to local warlords and tribal leaders, paving the way for feudalism and a mosaic of competing kingdoms. This decentralization fostered chronic instability, as seen in the frequent conflicts among the Franks, Visigoths, and Lombards.

However, some scholars argue that this fragmentation was not purely detrimental. The absence of a dominant empire may have encouraged regional innovation and adaptability. For instance, the Carolingian Renaissance under Charlemagne suggests that localized rule could still produce cultural and intellectual flourishing. The emergence of monastic communities during this period also played a crucial role in preserving classical knowledge and fostering educational continuity across fragmented territories.

Another compelling example is the Byzantine Empire, which retained Roman governance in the East and acted as a stabilizing force for centuries. Its survival challenges the notion that imperial collapse inevitably leads to disorder.

While the fall of Rome dismantled a centralized system, it also opened space for diverse political experiments—some chaotic, and others surprisingly resilient.",,,,,"There are four locations in the passage that indicate where the following sentence could be added: ""Such developments suggest that decentralization may have inadvertently laid the groundwork for a more pluralistic and resilient intellectual tradition."" Where would the sentence best fit?",Location 1,Location 2,Location 3,Location 4,Location 1,,,
