questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
14,Short Conversation,보통,Module 1,Conversation: Running in the Park,,"Narrator: Listen to a conversation.
Man: How are your morning runs going?
Woman: Overall great, though it's hard to run on the trails at the local park I've been going to. I feel like I'm always getting stuck behind people or bumping into them.
Man: I see. Are you working toward a specific goal?
Woman: My main goal is just to be healthier. But if I'm making enough progress, I might sign up for the campus 5K race at the end of the semester.
Man: Have you done one before?
Woman: It'll be my first, so that's why I'm still undecided.
Man: I have faith in you.",,,,Listen to a conversation.,A,B,C,D,D,,,
15,Short Conversation,보통,Module 1,Conversation: Student Activities Fair,,"Narrator: Listen to a conversation.
Woman: I went to the Student Activities Fair yesterday.
Man: Oh, how was it? I meant to go, but I was working on a paper for my sociology class.
Woman: Well, I saw a table for a debate club, and I thought of you. You were on the debate team in high school, weren't you?
Man: I was.
Woman: Maybe you should sign up.
Man: I don't know. I'd like something that requires a little less brain power. My classes this semester are going to be really difficult. I think the hiking club is more up my alley.",,,,Listen to a conversation.,A,B,C,D,A,,,
16,Short Conversation,보통,Module 1,Conversation: Student Activities Fair,,"Narrator: Listen to a conversation.
Woman: I went to the Student Activities Fair yesterday.
Man: Oh, how was it? I meant to go, but I was working on a paper for my sociology class.
Woman: Well, I saw a table for a debate club, and I thought of you. You were on the debate team in high school, weren't you?
Man: I was.
Woman: Maybe you should sign up.
Man: I don't know. I'd like something that requires a little less brain power. My classes this semester are going to be really difficult. I think the hiking club is more up my alley.",,,,Listen to a conversation.,A,B,C,D,D,,,
17,Short Conversation,보통,Module 1,Conversation: Rock Festival,,"Woman: What do you know about this rock festival that is happening?
Man: Not much. Do you know what time it starts?
Woman: It kicks off at 3 p.m.
Man: That's perfect.
Woman: Oh, I remember hearing that there'll be food trucks.
Man: Oh, right. And a dance floor.
Woman: No way. You can't keep us away. Let's get there early so we can get a good spot.",,,,Listen to a conversation.,A,B,C,D,D,,,
18,Short Conversation,보통,Module 1,Conversation: Rock Festival,,"Woman: What do you know about this rock festival that is happening?
Man: Not much. Do you know what time it starts?
Woman: It kicks off at 3 p.m.
Man: That's perfect.
Woman: Oh, I remember hearing that there'll be food trucks.
Man: Oh, right. And a dance floor.
Woman: No way. You can't keep us away. Let's get there early so we can get a good spot.",,,,Listen to a conversation.,A,B,C,D,B,,,
19,Announcements,보통,Module 1,Announcement: Shuttle Updates,,"Speaker: Good morning, students. We wanted to remind you about some recent updates to our campus shuttle schedule. Beginning next Monday, the shuttle service will operate on a new extended schedule in the mornings, starting at 7 a.m. It will also add two additional stops to its route, the Campus Art Museum and the Zimmerman Theater. These changes are in response to student feedback. Please check the updated schedule on the Transportation Office website and plan your travel accordingly.",,,,Listen to an announcement.,A,B,C,D,B,,,
20,Announcements,보통,Module 1,Announcement: Shuttle Updates,,"Speaker: Good morning, students. We wanted to remind you about some recent updates to our campus shuttle schedule. Beginning next Monday, the shuttle service will operate on a new extended schedule in the mornings, starting at 7 a.m. It will also add two additional stops to its route, the Campus Art Museum and the Zimmerman Theater. These changes are in response to student feedback. Please check the updated schedule on the Transportation Office website and plan your travel accordingly.",,,,Listen to an announcement.,A,B,C,D,A,,,
21,Announcements,보통,Module 1,Announcement: Online Platform,,"Professor: Let me tell you about something exciting. Starting next week, all our course readings, assignments, and lecture slides will be available through our new online platform. This should make it easier for you to stay organized and access everything in one place. Please create your account by Friday and take some time to explore the layout and features. There is also a tutorial video on the homepage to help you get started.",,,,Listen to an announcement.,A,B,C,D,A,,,
22,Announcements,보통,Module 1,Announcement: Online Platform,,"Professor: Let me tell you about something exciting. Starting next week, all our course readings, assignments, and lecture slides will be available through our new online platform. This should make it easier for you to stay organized and access everything in one place. Please create your account by Friday and take some time to explore the layout and features. There is also a tutorial video on the homepage to help you get started.",,,,Listen to an announcement.,A,B,C,D,B,,,
23,Announcements,보통,Module 1,Announcement: Debate Championship,,"Speaker: Before we begin our film screening, I want to invite you all to the Regional University Debate Championship on Thursday at 7 p.m. in the Student Center Auditorium. We are excited to be hosting this special event for the second year in a row. Come see Nordgren University Debate Team take on the South Melville University team. Registration is free. Remember to sign up on the Debate Team website soon.",,,,Listen to an announcement.,A,B,C,D,A,,,
24,Announcements,보통,Module 1,Announcement: Debate Championship,,"Speaker: Before we begin our film screening, I want to invite you all to the Regional University Debate Championship on Thursday at 7 p.m. in the Student Center Auditorium. We are excited to be hosting this special event for the second year in a row. Come see Nordgren University Debate Team take on the South Melville University team. Registration is free. Remember to sign up on the Debate Team website soon.",,,,Listen to an announcement.,A,B,C,D,D,,,
25,Academic Talk,보통,Module 1,Talk: Pottery Technology,,"Professor: Previously, we discussed the significance of pottery to ancient cultures, including pottery as an art form and pottery's crucial role in trade. Today, we will focus on the development of pottery over time. One breakthrough was the invention of the potter's wheel around 3500 BCE in Mesopotamia. The potter's wheel allowed artisans to spin and shape clay more quickly and evenly. Updraft kilns helped potters control oxygen during firing, which affected the final color of the pottery. Later, very high-temperature kilns allowed potters to create stoneware and eventually porcelain, a smooth white ceramic fired above 1,200 degrees Celsius.",,,,Listen to a talk.,A,B,C,D,B,,,
26,Academic Talk,보통,Module 1,Talk: Pottery Technology,,"Professor: Previously, we discussed the significance of pottery to ancient cultures, including pottery as an art form and pottery's crucial role in trade. Today, we will focus on the development of pottery over time. One breakthrough was the invention of the potter's wheel around 3500 BCE in Mesopotamia. The potter's wheel allowed artisans to spin and shape clay more quickly and evenly. Updraft kilns helped potters control oxygen during firing, which affected the final color of the pottery. Later, very high-temperature kilns allowed potters to create stoneware and eventually porcelain, a smooth white ceramic fired above 1,200 degrees Celsius.",,,,Listen to a talk.,A,B,C,D,C,,,
27,Academic Talk,보통,Module 1,Talk: Pottery Technology,,"Professor: Previously, we discussed the significance of pottery to ancient cultures, including pottery as an art form and pottery's crucial role in trade. Today, we will focus on the development of pottery over time. One breakthrough was the invention of the potter's wheel around 3500 BCE in Mesopotamia. The potter's wheel allowed artisans to spin and shape clay more quickly and evenly. Updraft kilns helped potters control oxygen during firing, which affected the final color of the pottery. Later, very high-temperature kilns allowed potters to create stoneware and eventually porcelain, a smooth white ceramic fired above 1,200 degrees Celsius.",,,,Listen to a talk.,A,B,C,D,B,,,
28,Academic Talk,보통,Module 1,Talk: Pottery Technology,,"Professor: Previously, we discussed the significance of pottery to ancient cultures, including pottery as an art form and pottery's crucial role in trade. Today, we will focus on the development of pottery over time. One breakthrough was the invention of the potter's wheel around 3500 BCE in Mesopotamia. The potter's wheel allowed artisans to spin and shape clay more quickly and evenly. Updraft kilns helped potters control oxygen during firing, which affected the final color of the pottery. Later, very high-temperature kilns allowed potters to create stoneware and eventually porcelain, a smooth white ceramic fired above 1,200 degrees Celsius.",,,,Listen to a talk.,A,B,C,D,B,,,
29,Academic Talk,보통,Module 1,Talk: Physics of Ice Skating,,"Speaker: Welcome to Science in Motion. Today we are investigating why ice skating feels so smooth and fluid. When a skate blade moves across the ice, the pressure from the blade creates a thin layer of water between the skate and the ice. This slippery film allows skaters to move gracefully. Elite skaters develop techniques to control friction. Similar principles also appear in glaciers, where pressure and melting help massive ice sheets move across landscapes.",,,,Listen to a talk.,A,B,C,D,D,,,
30,Academic Talk,보통,Module 1,Talk: Physics of Ice Skating,,"Speaker: Welcome to Science in Motion. Today we are investigating why ice skating feels so smooth and fluid. When a skate blade moves across the ice, the pressure from the blade creates a thin layer of water between the skate and the ice. This slippery film allows skaters to move gracefully. Elite skaters develop techniques to control friction. Similar principles also appear in glaciers, where pressure and melting help massive ice sheets move across landscapes.",,,,Listen to a talk.,A,B,C,D,C,,,
31,Academic Talk,보통,Module 1,Talk: Physics of Ice Skating,,"Speaker: Welcome to Science in Motion. Today we are investigating why ice skating feels so smooth and fluid. When a skate blade moves across the ice, the pressure from the blade creates a thin layer of water between the skate and the ice. This slippery film allows skaters to move gracefully. Elite skaters develop techniques to control friction. Similar principles also appear in glaciers, where pressure and melting help massive ice sheets move across landscapes.",,,,Listen to a talk.,A,B,C,D,B,,,
32,Academic Talk,보통,Module 1,Talk: Physics of Ice Skating,,"Speaker: Welcome to Science in Motion. Today we are investigating why ice skating feels so smooth and fluid. When a skate blade moves across the ice, the pressure from the blade creates a thin layer of water between the skate and the ice. This slippery film allows skaters to move gracefully. Elite skaters develop techniques to control friction. Similar principles also appear in glaciers, where pressure and melting help massive ice sheets move across landscapes.",,,,Listen to a talk.,A,B,C,D,A,,,
